,Well_Name,Well_Types
633,PW-1,Extraction Wells
634,PW-2,Monitoring Wells
635,Red Pond,Treatment System
636,REDSKIN,Not Applicable
637,Saginaw Forest Cabin #1,Monitoring Wells
638,Saginaw Forest Cabin #2,Monitoring Wells
639,Saginaw Forest Cabin #4,Residential Wells
640,Second Sister Lake,Surface Water
641,Seep #1-West Park,Surface Water
642,Seep-234 8th,Surface Water
643,Seep-401 7th,Surface Water
644,Seep-719 Washington,Surface Water
645,SI-MW-2,Miscellaneous Wells
646,SI-MW-4,Miscellaneous Wells
647,SI-MW-5,Miscellaneous Wells
648,SI-MW-7,Miscellaneous Wells
649,Smith Pond - East,Surface Water
650,Smith Pond - West,Surface Water
651,Smith Ponds,Not Applicable
652,SW-1M,Miscellaneous Wells
653,SW-2M,Miscellaneous Wells
654,SW-3M,Miscellaneous Wells
655,SW-COMB,Extraction Wells
656,Third Sister Lake,Surface Water
657,TRANS,Not Applicable
658,TRANS-HZ,Not Applicable
659,Tributary/Jackson Rd,Surface Water
660,Tributary/Marshy Area,Surface Water
661,Tributary/Outfall,Surface Water
662,Tributary/Outfall Upstream,Surface Water
663,Tributary/Park Rd,Surface Water
664,TW-1,Extraction Wells
665,TW-10,Extraction Wells
666,TW-11,Extraction Wells
667,TW-12,Extraction Wells
668,TW-13,Extraction Wells
669,TW-14,Extraction Wells
670,TW-15,Monitoring Wells
671,TW-16,Extraction Wells
672,TW-17,Extraction Wells
673,TW-18,Extraction Wells
674,TW-19,Extraction Wells
675,TW-20,Extraction Wells
676,TW-21,Extraction Wells
677,TW-22,Extraction Wells
678,TW-23,Extraction Wells
679,TW-28,Extraction Wells
680,TW-3,Extraction Wells
681,TW-4,Extraction Wells
682,TW-5,Extraction Wells
683,TW-6,Extraction Wells
684,TW-7,Extraction Wells
685,TW-8,Extraction Wells
686,TW-9,Extraction Wells
687,Varsity Ford,Miscellaneous Wells
688,Weber's Drain 1st Sister Lake,Residential Wells
689,Weber's Heat Pump Drain,Residential Wells
690,West Park Pond,Surface Water
